ABU ROAD 	ABR	24.812500	72.711723
ACHHNERA 	AH	27.075480	78.136848
ADONI 	AD	15.525880	77.950951
ADONI 	AD	46.996670	22.123619
ADRA 	ADRA	36.781502	-3.035230
ADRA 	ADRA	33.375011	37.109341
ADRA 	ADRA	33.606152	73.052612
ADRA 	ADRA	23.202230	86.362587
ADRA 	ADRA	59.391441	24.458441
ADRA 	ADRA	26.939430	81.362671
ADRA 	ADRA	22.496840	88.107178
ADRA 	ADRA	23.411020	87.603073
AGRA FORT 	AF	27.183800	77.994453
AGRA CANTT. 	AGC	27.075480	78.136848
AHMADNAGAR 	ANG	19.158369	74.597366
AHMADNAGAR 	ANG	23.779570	73.190239
AHMADNAGAR 	ANG	30.860300	72.374298
AHMEDABAD 	ADI	22.744459	72.224533
AHMEDABAD 	ADI	26.829901	80.885590
AJMER 	AII	26.330120	74.734261
AJMER 	AII	22.370239	70.768959
AJMER 	AII	28.462950	79.379257
AKOLA 	AK	20.761761	77.155602
AKOLA 	AK	19.158369	74.597366
AKOLA 	AK	17.833731	75.516602
AKOLA 	AK	20.064230	78.216431
AKOLA 	AK	24.375280	74.654648
AKOLA 	AK	25.491489	74.737617
AKOLA 	AK	21.201120	81.371857
AKOLA 	AK	27.075480	78.136848
AKOLA 	AK	24.448669	73.779411
AKOLA 	AK	25.491489	74.737617
ALIGARH 	ALJN	27.875090	78.043289
ALIGARH 	ALJN	26.122280	75.714729
ALIGARH 	ALJN	26.659410	83.370972
ALIGARH 	ALJN	27.434389	79.428802
ALIGARH 	ALJN	27.334539	80.257736
ALIGARH 	ALJN	26.652399	77.748703
ALIPURDUAR Jn. 	APDJ		
ALLAHABAD 	ALD	25.278200	81.935852
ALLAHABAD 	ALD	27.181931	83.531517
ALLAHABAD 	ALD	28.096230	76.998459
ALLAHABAD 	ALD	30.860300	72.374298
ALLAHABAD 	ALD	30.860300	72.374298
ALLAHABAD 	ALD	28.863819	56.827641
ALLAHABAD 	ALD	32.634838	52.518719
ALAPPUZHA 	ALLP	9.505150	76.495720
ALNAWAR Jn. 	LWR		
ALWAR 	AWR	27.638571	76.661171
ALUVA 	AWY	10.046170	76.490807
ALUVA 	AWY	23.285320	72.701134
AMALNER 	AN	20.842239	75.578613
AMALNER 	AN	19.158369	74.597366
AMALNER 	AN	20.025089	75.240021
AMALNER 	AN	18.995319	75.772148
AMBALA CANTT. 	UMB	30.341471	76.878761
AMLA 	AMLA	21.880051	77.804443
AMLA 	AMLA	21.336130	76.369591
AMLA 	AMLA	23.897289	89.025650
AMLA 	AMLA	61.335129	6.995750
AMLA 	AMLA	18.995319	75.772148
AMLA 	AMLA	18.995319	75.772148
AMLA 	AMLA	21.154430	77.535240
AMLA 	AMLA	23.100780	57.071449
AMLA 	AMLA	22.324200	73.560883
AMLA 	AMLA	26.737341	72.834106
AMRITSAR 	ASR	31.569189	74.937393
AMRITSAR 	ASR	29.600149	74.887047
AMRITSAR 	ASR	29.450371	76.347809
ANAKAPALLE 	AKP	17.899981	82.696938
ANAND 	ANND	22.439211	72.768372
ANAND 	ANND	19.020830	72.838043
ANAND NAGAR 	ANDN	25.940390	90.091316
ANAND NAGAR 	ANDN	27.209930	77.501869
ANAND NAGAR 	ANDN	31.330231	75.572403
ANAND NAGAR 	ANDN	23.239111	77.415771
ANAND NAGAR 	ANDN	17.659510	75.913391
ANAND NAGAR 	ANDN	19.968081	73.783943
ANAND NAGAR 	ANDN	19.151960	77.318001
ANAND NAGAR 	ANDN	18.405630	76.571678
ANAND NAGAR 	ANDN	22.289721	70.793182
ANAND NAGAR 	ANDN	21.165131	72.836182
ANANTAPUR 	ATP	14.460390	77.614723
ANANTAPUR 	ATP	16.157141	74.777039
ANANTAPUR 	ATP	16.531651	78.234779
ANANTAPUR 	ATP	26.458590	79.848984
ANANTAPUR 	ATP	19.842699	85.765762
ANANTAPUR 	ATP	20.387630	85.559578
ANANTAPUR 	ATP	21.920530	86.422569
ANANTAPUR 	ATP	22.078360	88.574989
ANANTAPUR 	ATP	22.496840	88.107178
ANANTAPUR 	ATP	22.056931	87.797760
ANGUL 	ANGL	21.110069	84.816498
ANGUL 	ANGL	21.237480	83.276543
ANNAVARAM 	ANV	17.162790	82.055923
ANNAVARAM 	ANV	14.302140	79.673439
ANNAVARAM 	ANV	16.264959	80.057411
ANNAVARAM 	ANV	16.264959	80.057411
ANNAVARAM 	ANV	16.264959	80.057411
ANNAVARAM 	ANV	16.458780	80.780930
ANNAVARAM 	ANV	16.458780	80.780930
ANNAVARAM 	ANV	16.895161	81.365082
ANNAVARAM 	ANV	17.899981	82.696938
ANNAVARAM 	ANV	17.899981	82.696938
ANUPPUR 	APR	23.970791	78.428879
ANUPPUR 	APR	0.000000	0.000000
ANUPPUR 	APR	11.646540	78.245903
ANUPPUR 	APR	23.845341	77.778648
ARA 	ARA	42.546928	-0.550320
ARA 	ARA	45.684570	8.342370
ARA 	ARA	-20.611549	-65.830673
ARA 	ARA	25.462339	84.564262
ARA 	ARA	7.681680	5.030250
ARA 	ARA	60.961208	5.314020
ARA 	ARA	40.027328	-105.228317
ARA 	ARA	30.022030	-91.866112
ARA 	ARA	23.989830	85.474350
ARA 	ARA	23.145210	85.384071
ARAKKONAM 	AJJ	12.735880	79.394112
ARSIKERE 	ASK	13.031620	76.090721
ASANSOL 	ASN	23.411020	87.603073
ASANSOL 	ASN	24.316130	87.293648
AUNRIHAR 	ARJ	36.092041	140.084564
AUNRIHAR 	ARJ	35.336720	132.755005
AURANGABAD 	AWB	20.025089	75.240021
AURANGABAD 	AWB	28.185881	80.663300
AURANGABAD 	AWB	30.860300	72.374298
AURANGABAD 	AWB	24.804230	84.376694
AURANGABAD 	AWB	28.180309	77.329071
AURANGABAD 	AWB	28.387091	78.057823
AURANGABAD 	AWB	24.299459	88.292313
AURANGABAD 	AWB	30.205000	77.333809
AURANGABAD 	AWB	29.046280	76.853577
AURANGABAD 	AWB	17.857420	78.285500
AYODHYA 	AY	26.637640	82.009773
AYODHYA 	AY	15.575100	76.291710
AZAMGARH 	AMH	26.023750	83.084396
AZAMGARH 	AMH	26.023750	83.084396
AZAMGARH 	AMH	24.679831	84.844093
AZAMGARH 	AMH	25.766270	87.426620
AZIMGANJ Jn. 	AZ		
BADARPUR 	BPB	24.585600	92.388496
BADARPUR 	BPB	22.897690	73.035988
BADARPUR 	BPB	28.096230	76.998459
BADARPUR 	BPB	29.705570	76.836884
BADARPUR 	BPB	30.063610	76.771751
BADARPUR 	BPB	23.572309	72.406700
BADARPUR 	BPB	28.387091	78.057823
BADARPUR 	BPB	28.515200	77.227150
BADNERA Jn. 	BD	21.154430	77.535240
BAGAHA 	BUG	27.051109	84.299561
BAGAHA 	BUG	26.133711	84.404160
BAGAHA 	BUG	26.570841	85.531738
BAGAHA 	BUG	24.931761	82.632210
BAGAHA 	BUG	25.278200	81.935852
BAGAHA 	BUG	26.207861	81.153236
BAGAHA 	BUG	26.829901	80.885590
BAGAHA 	BUG	24.679831	84.844093
BAGALKOT 	BGK	16.291349	75.659081
BAGHPAT ROAD 	BPM	28.737141	77.700119
BAGHPAT ROAD 	BPM	29.039520	77.315170
BAIDYANATHDHAM 	BDME		
BAKTHIYARPUR 	BKP	25.468531	85.377853
BAKTHIYARPUR 	BKP	26.716311	79.046303
